Country,Region,Beta,Alpha (%),R²,Correlation,Avg Weekly Return (%),Weekly Volatility (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Tracking Error (%),Information Ratio,Upside Capture (%),Downside Capture (%),Max Drawdown (%),Currency Adj Return (%),Currency Adj Vol (%),Skewness,Kurtosis,P-value,Observations
Japan,Asia Developed,0.8134152945888884,0.1273784872281063,0.3440188372723665,0.5865311903661786,0.4352496410555544,2.8632486740222554,22.63298133488883,20.647179817183037,1.0961778574744219,2.3507994518406825,0.024143988655448558,91.51556387238007,76.27304318192377,-18.46316113304608,26.61379394866361,25.264132321829567,-0.24710911689725729,0.8727613771237515,6.054950716946412e-11,104
Sweden,Northern Europe,0.6718286339580413,-0.0011504791116006552,0.441575353319774,0.6645113643270324,0.2531312612084146,2.087343593638487,13.16282558283756,15.052048712749666,0.8744873096037842,1.7006251965910122,-0.07371448147537472,64.0125157405848,62.15175836345341,-16.54727447668115,17.417810257382325,17.19855644176804,-1.1835343003367529,4.726959066228092,1.4592652099797963e-14,104
Denmark,Northern Europe,0.6118754489228909,-0.1621916435958628,0.27687734687988313,0.5261913595640688,0.0693982978666807,2.400806517206389,3.6087114890673964,17.312462000511506,0.2084458864926765,2.193196050371382,-0.14093298583136585,50.300978080516934,71.05187978088867,-25.724388117825868,7.86369616361216,19.480024354589947,-1.0598635526014726,4.94353838164753,9.65910136861261e-09,104
Germany,Western Europe,0.5787796009435083,0.17171765113905213,0.34003810343870844,0.5831278619983,0.3907810800414155,2.049213788136318,20.320616162153605,14.777090775026588,1.3751432180748069,1.8782075436342276,0.006543001237530142,68.51458454474387,45.967588310210985,-11.451374580379204,24.575600836698378,17.051116776918665,-0.6387627191676125,1.9975642399209592,8.289138545935459e-11,104
Italy,Southern Europe,0.558870352328103,0.1907957502471472,0.24446711520135264,0.49443615887326914,0.4023236885042796,2.3336659701222695,20.920831802222537,16.828304630162513,1.243193076308157,2.2235363833756403,0.010717936941972313,67.5935422796185,42.46892197658804,-12.829183317962912,25.175816476767302,18.589173863115295,-1.2536864999074324,4.003010726151493,9.578732517857042e-08,104
Korea,Asia Developed,0.5531191628552736,0.49922031246036586,0.19226798741057707,0.4384837367686253,0.7085714717084741,2.604372258856856,36.845716528840654,18.780395439408736,1.961924425271882,2.5159296923297334,0.13119583864195525,85.83565539170849,20.02750200822866,-16.004307174854628,40.826529142615435,21.100560762728698,-0.12480051789091536,-0.3838836187513093,3.2298266443119644e-06,104
France,Western Europe,0.5424402320438427,-0.12261206765023955,0.30440634047091536,0.5517303149827054,0.08269720208284506,2.029845073602479,4.300254508307943,14.637420988243427,0.29378498519389773,1.9386744519861105,-0.15257577845171524,52.02306394614157,71.6109403960532,-13.557864830315246,8.555239182852706,17.250535477855408,-0.8134665510565499,2.0741672866482768,1.2761697674496834e-09,104
Canada,North America,0.53452641012147,0.24250209308736026,0.5626100318282091,0.75007335096523,0.4448160448043787,1.471306921275196,23.130434329827693,10.609745093205555,2.1801121635467324,1.3676252234580215,0.04849579980515487,65.23041692602713,31.28371693496953,-9.724117054003012,22.13355985400235,12.189572150321766,-0.9884914977329603,3.6776191002126417,5.0418781894743673e-20,104
Spain,Southern Europe,0.4756697038489114,0.38884749829539217,0.2305607763473983,0.4801674461553993,0.5688846595572052,2.04526988822408,29.58200229697467,14.748650908308843,2.0057429307184473,2.095363951007921,0.09086378225918386,71.24946624250846,19.93066103496529,-7.9714175049312,33.83698697151944,17.126438682433132,-0.4834769184447704,0.7840038857418463,2.495125218145219e-07,104
Finland,Northern Europe,0.44544214204203714,0.08425173991045148,0.2388584335510344,0.48873145340875535,0.2528480118838767,1.881736712624759,13.148096617961587,13.569396408583229,0.9689522084891593,2.00151215246645,-0.06277451461904511,53.24197395378935,44.43793370502666,-13.52165049624049,17.403081292506354,16.071010158388003,-0.4899447893114512,2.0718231340724547,1.411924396932512e-07,104
Switzerland,Western Europe,0.4370572849147024,-0.009228358062341374,0.22492299952933553,0.4742604764571211,0.1561943128543499,1.9026516241851958,8.122104268426195,13.720215980689126,0.5919807880472043,2.038794695583987,-0.10903385877264804,47.21911089417997,51.08266711533685,-14.046758452995089,13.110876605117278,14.965246142147311,-1.0679583626866735,5.006988252260502,3.6624387075689926e-07,104
Australia,Oceania,0.3863311451463964,0.01677170877076231,0.32528073653340117,0.5703338816284731,0.16299494333117767,1.3985190773851768,8.47573705322124,10.084864486453691,0.8404413430250964,1.710236185697637,-0.1260042467993948,42.18778417366344,41.618775595863575,-10.627876124325851,10.707997555602997,14.52070321732558,-0.4189748106119051,0.07370270412107338,2.6148687358848037e-10,104
Hong Kong,Asia Developed,0.3660636587688325,0.4102068157496932,0.05522743473808653,0.2350051802367057,0.5487589695500691,3.216007304706463,28.535466416603594,23.190958478771787,1.2304565351502823,3.388884772603144,0.0502427834571081,84.75483715816567,45.655083730992565,-16.152532063277924,32.51627903037837,24.630970325469008,0.5349361990459173,2.4734605404761423,0.016334291809400558,104
UK,Western Europe,0.3579041370070681,0.14836937626854285,0.26369311256290384,0.5135105768753978,0.28383321663765454,1.4389813693055655,14.759327265158037,10.376642222937198,1.4223606199443852,1.811647353152993,-0.05225009655255453,41.750363079263444,20.171979265050798,-9.597375407279774,17.99529310241822,12.184643748103225,-0.8881302845874443,5.421576464952521,2.483418949430954e-08,104
